Date,Learning,Review,Relearn,Total,AvgTime,MedianTime,FastCount,FastPercent
2023-06-11,0,0,0,0,0.0,0.0,0,0.0
2023-06-12,0,0,0,0,0.0,0.0,0,0.0
2023-06-13,0,0,0,0,0.0,0.0,0,0.0
2023-06-14,0,0,0,0,0.0,0.0,0,0.0
2023-06-15,0,0,0,0,0.0,0.0,0,0.0
2023-06-16,0,0,0,0,0.0,0.0,0,0.0
2023-06-17,0,0,0,0,0.0,0.0,0,0.0
2023-06-18,0,0,0,0,0.0,0.0,0,0.0
2023-06-19,5,0,0,5,30.36,16.07,0,0.0
2023-06-20,0,0,0,0,0.0,0.0,0,0.0
2023-06-21,0,0,0,0,0.0,0.0,0,0.0
2023-06-22,23,0,0,23,25.01,10.64,0,0.0
2023-06-23,22,0,0,22,106.36,115.16,0,0.0
2023-06-24,0,0,0,0,0.0,0.0,0,0.0
2023-06-25,0,0,0,0,0.0,0.0,0,0.0
2023-06-26,119,13,0,132,51.31,19.56,13,9.85
2023-06-27,16,0,0,16,15.69,13.65,2,12.5
2023-06-28,2,28,2,32,52.49,39.26,0,0.0
2023-06-29,0,0,0,0,0.0,0.0,0,0.0
2023-06-30,0,0,0,0,0.0,0.0,0,0.0
2023-07-01,0,0,0,0,0.0,0.0,0,0.0
2023-07-02,7,0,0,7,60.0,52.0,0,0.0
2023-07-03,61,3,0,64,35.45,20.67,1,1.56
2023-07-04,0,0,0,0,0.0,0.0,0,0.0
2023-07-05,0,0,0,0,0.0,0.0,0,0.0
2023-07-06,0,0,0,0,0.0,0.0,0,0.0
2023-07-07,0,0,0,0,0.0,0.0,0,0.0
2023-07-08,1,0,0,1,39.49,39.49,0,0.0
2023-07-09,0,0,0,0,0.0,0.0,0,0.0
2023-07-10,1,0,0,1,14.58,14.58,0,0.0
2023-07-11,0,0,0,0,0.0,0.0,0,0.0
2023-07-12,0,0,0,0,0.0,0.0,0,0.0
2023-07-13,0,0,0,0,0.0,0.0,0,0.0
2023-07-14,0,0,0,0,0.0,0.0,0,0.0
2023-07-15,13,3,0,16,38.21,21.34,0,0.0
2023-07-16,0,0,0,0,0.0,0.0,0,0.0
2023-07-17,75,0,0,75,40.72,25.85,1,1.33
2023-07-18,0,0,0,0,0.0,0.0,0,0.0
2023-07-19,89,21,3,113,26.32,18.67,0,0.0
2023-07-20,0,0,0,0,0.0,0.0,0,0.0
2023-07-21,0,0,0,0,0.0,0.0,0,0.0
2023-07-22,173,68,7,248,36.51,21.35,6,2.42
2023-07-23,0,1,0,1,14.47,14.47,0,0.0
2023-07-24,0,24,10,34,56.4,35.6,0,0.0
